study_id,vector_id,associated_pathogen_id,associated_reservoir_id,year,month,season,genus,species,sample_size,sampling_method,country,location_name,topography,ecoregion,gps_latitude,gps_longitude,comment
116,268,321,,1993,october_to_november,both,aedes,metallicus,32,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,269,322,,1993,july,rainy,aedes,unilineatus,5,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,270,323,,1993,october_to_november,both,aedes,unilineatus,2,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,271,324,,1993,july,rainy,aedes,africanus,1,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,272,325,,1993,july,rainy,aedes,vitattus,940,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,273,326,,1993,october_to_november,both,aedes,vitattus,106,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,274,327,,1993,july,rainy,aedes,dalzieli,10,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,275,328,,1993,october_to_november,both,aedes,dalzieli,890,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,276,329,,1993,july,rainy,aedes,fowleri,55,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
116,277,330,,1993,october_to_november,both,aedes,fowleri,3,human_bait,senegal,kedougou,,west_sudanian_savanna,12.56058881,-12.17042784,
123,278,346,,2020,august,rainy,aedes,aegypti,661,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,279,347,,2020,august,rainy,aedes,africanus,92,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,280,348,,2020,august,rainy,aedes,furcifer,1025,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,281,349,,2020,august,rainy,aedes,luteocephalus,419,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,282,350,,2020,august,rainy,aedes,taylori,112,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,283,351,,2020,august,rainy,aedes,vittatus,495,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,284,352,,2020,september,rainy,aedes,aegypti,478,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,285,353,,2020,september,rainy,aedes,africanus,69,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,286,354,,2020,september,rainy,aedes,furcifer,515,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,287,355,,2020,september,rainy,aedes,luteocephalus,141,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,288,356,,2020,september,rainy,aedes,taylori,25,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,289,357,,2020,september,rainy,aedes,vittatus,339,bg_sentinel2,senegal,kedougou,,west_sudanian_savanna,12.56117526,-12.17360425,
123,290,358,,2020,november,dry,aedes,aegypti,19,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
123,291,359,,2020,november,dry,aedes,africanus,0,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
123,292,360,,2020,november,dry,aedes,furcifer,0,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
123,293,361,,2020,november,dry,aedes,luteocephalus,0,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
123,294,362,,2020,november,dry,aedes,taylori,0,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
123,295,363,,2020,november,dry,aedes,vittatus,0,bg_sentinel2,senegal,kidira,,west_sudanian_savanna,14.45823297,-12.2113512,
124,296,,,1996,november,dry,aedes,aegypti,229,human_bait,senegal,dougounbene,,west_sudanian_savanna,14.13147133,-15.58473371,
124,297,,,1996,november,dry,aedes,luteocephalus,1,human_bait,senegal,dougounbene,,west_sudanian_savanna,14.13147133,-15.58473371,
124,298,,,1996,november,dry,aedes,metallicus,1,human_bait,senegal,dougounbene,,west_sudanian_savanna,14.13147133,-15.58473371,
141,299,,,1972,august_to_september,rainy,aedes,uniformis,1,,gambia,keneba,,,,,
141,300,,,1972,august_to_september,rainy,aedes,dalzieli,1,,gambia,keneba,,,,,
141,301,,,1972,august_to_september,rainy,aedes,fowleri,1,,gambia,keneba,,,,,
141,302,,,1972,august_to_september,rainy,aedes,metallicus,1,,gambia,keneba,,,,,
141,303,,,1972,august_to_september,rainy,culex,neavei,1,,gambia,keneba,,,,,
141,304,,,1972,august_to_september,rainy,culex,poicilipes,1,,gambia,keneba,,,,,
141,305,,,1972,august_to_september,rainy,culex,tritaeniorhynchus,1,,gambia,keneba,,,,,
141,306,,,1976,october,rainy,mansonia,africana,1,,gambia,keneba,,,,,
141,307,,,1976,october,rainy,mansonia,uniformis,1,,gambia,keneba,,,,,
141,308,,,1976,october,rainy,aedes,dalzieli,1,,gambia,keneba,,,,,
141,309,,,1976,october,rainy,aedes,fowleri,1,,gambia,keneba,,,,,
141,310,,,1976,october,rainy,aedes,metallicus,1,,gambia,keneba,,,,,
141,311,,,1976,october,rainy,culex,tritaeniorhynchus,1,,gambia,keneba,,,,,
146,312,,,2012,january,dry,argas,parsicus,1,,senegal,ndiop,,,,,
146,313,,,2004,may,dry,rhipicephalus,sp.,1,,senegal,kossanto,,,,,
146,314,,,2008,january,dry,rhipicephalus,sp.,1,,senegal,raouna_djidere,,,,,
146,315,,,2008,march,dry,rhipicephalus,sp.,1,,senegal,mballo_counda_woudou,,,,,
146,316,,,2008,march,dry,rhipicephalus,sp.,1,,senegal,djiro_mantoro,,,,,
146,317,,,2008,march,dry,rhipicephalus,sp.,1,,senegal,abene,,,,,
167,318,,,1991,august_to_november,both,ambylomma,variegatum,356,,gambia,kerr_serign,,,,,
167,319,,,1991,august_to_november,both,hyalomma,sp.,64,,gambia,kerr_serign,,,,,
175,320,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,dakar,,,,,
175,321,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,bandia,,,,,
175,322,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,saboya,,,,,
175,323,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,salemata,,,,,
175,324,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,etiolo,,,,,
175,325,,,1993,all_months,both,reticulinasus,camicasi,1,,senegal,kedougou,,,,,
193,326,,,1995_1996,all_months,both,ambylomma,variegatum,5713,,gambia,keneba,,,,,
193,327,,,1995_1996,all_months,both,rhipicephalus,senegalensis,2475,,gambia,keneba,,,,,
193,328,,,1995_1996,all_months,both,hyalomma,truncatum,651,,gambia,keneba,,,,,
193,329,,,1995_1996,all_months,both,hyalomma,marginatum_rufipes,210,,gambia,keneba,,,,,
193,330,,,1995_1996,all_months,both,boophilus,decoloratus,50,,gambia,keneba,,,,,
193,331,,,1995_1996,all_months,both,boophilus,geigyi,20,,gambia,keneba,,,,,
210,332,,,2002,november,dry,aedes,vexans,7138,,senegal,barkedji,,,,,
210,333,,,2002,november,dry,aedes,sudanensis,156,,senegal,barkedji,,,,,
210,334,,,2002,november,dry,aedes,fowleri,60,,senegal,barkedji,,,,,
210,335,,,2002,november,dry,culex,poicilipes,242,,senegal,barkedji,,,,,
210,336,,,2002,november,dry,culex,sp.,56,,senegal,barkedji,,,,,
210,337,,,2002,november,dry,aedes,sp.,2,,senegal,barkedji,,,,,
219,338,,1497,2007,all_months,both,ambylomma,variegatum,40,,gambia,kerr_serign,,,,,
219,339,,1498,2007,all_months,both,ambylomma,variegatum,42,,gambia,giboro_kuta,,,,,
219,340,,1499,2007,all_months,both,ambylomma,variegatum,50,,gambia,tumani_tenda,,,,,
219,341,,1500,2007,all_months,both,ambylomma,variegatum,38,,gambia,mandinaba,,,,,
219,342,,1501,2007,all_months,both,ambylomma,variegatum,55,,gambia,brefet,,,,,
219,343,,1502,2007,all_months,both,ambylomma,variegatum,46,,gambia,keneba,,,,,
219,344,,1503,2007,all_months,both,ambylomma,variegatum,50,,gambia,burong,,,,,
219,345,,1504,2007,all_months,both,ambylomma,variegatum,40,,gambia,kollikunda,,,,,
219,346,,1505,2007,all_months,both,ambylomma,variegatum,35,,gambia,mbappa_ba,,,,,
219,347,,1506,2007,all_months,both,ambylomma,variegatum,30,,gambia,mbappa_mariga,,,,,
219,348,,1507,2007,all_months,both,ambylomma,variegatum,40,,gambia,yorro_beri_kunda,,,,,
219,349,,1508,2007,all_months,both,ambylomma,variegatum,25,,gambia,sare_sofi,,,,,
219,350,,1509,2007,all_months,both,ambylomma,variegatum,25,,gambia,mamud_fana,,,,,
219,351,,1510,2007,all_months,both,ambylomma,variegatum,42,,gambia,jimballa_kerr_malick,,,,,
219,352,,1511,2007,all_months,both,ambylomma,variegatum,50,,gambia,kulkullay,,,,,
219,353,,1512,2007,all_months,both,ambylomma,variegatum,50,,gambia,sare_demba_torro,,,,,
446,354,,,2014,july_to_november,rainy,aedes,aegypti,0,,senegal,diama,,,16.2115,-16.392113,
